title,album,lyrics
Bad Decisions,Dangerous Woman,"[Verse 1]
Boy, you know that you drive me crazy
But it's one of the things I like
Cause I know when you need it, baby
That I got that, ooh ooh
Let 'em keep, let 'em keep on talkin'
But it don't matter what they say
Cause you know when you hear me knockin'
Gonna get that, ooh ooh

[Pre-Chorus]
I've been doing stupid things
Wilder than I've ever been
You've become my favorite sin
So let 'em keep, let 'em keep on talking
That's right

[Chorus]
We got that hood love
We got that good love
We got that hot love
We got that ""I don't give a what"" love
We got that one life
Gimme that all night
We got that Bonnie and Clyde love
They say it's wrong, but that's the way you turn me on
We got that hood love
We got that good love
Make me make bad
Boy, you make me make bad decisions
Bad boy, you make me make bad decisions

[Verse 2]
No, they ain't gonna understand it
Understand what I see in you
They don't know when you touch my body
That I see the truth
Let 'em keep, let 'em keep on talking
Cause I know that I got someone
Anytime that I need some danger
Gonna get that, ooh ooh

[Pre-Chorus]
I've been doing stupid things
Wilder than I've ever been
You've become my favorite sin
So let 'em keep, let 'em keep on talking
That's right

[Chorus]
We got that hood love
We got that good love
We got that hot love
We got that ""I don't give a what"" love
We got that one life
Gimme that all night
We got that Bonnie and Clyde love
They say it's wrong, but that's the way you turn me on
We got that hood love
We got that good love
Make me make bad
Boy, you make me make bad decisions
Bad boy, you make me make bad decisions

[Bridge]
Don't you know I ain't fuckin' with them good boys?
Know you love me like ain't nobody could, boy
If you want it, boy, you got it
Ain’t you ever seen a princess be a bad bitch?

[Chorus]
We got that hood love
We got that good love
We got that hot love
We got that ""I don't give a what"" love
We got that one life
Gimme that all night
We got that Bonnie and Clyde love
They say it's wrong, but that's the way you turn me on
We got that hood love
We got that good love
Make me make bad
Boy, you make me make bad decisions
Bad, boy, you make me make bad decisions
Bad boy, you make me make bad decisions
Bad boy, you make me make bad decisions"
Bang Bang (3LAU Remix),The Remix,"[Intro]
Ahhh, hey!

[Nicki Minaj]
B to the A to the N to the G, uh
B to the A to the N to the G, hey

[Verse 1: Jessie J]
She got a body like an hourglass
But I can give it to you all the time
She got a booty like a Cadillac
But I can send you into overdrive, oh
(You've been waiting for that, step on up, swing your bat)
See, anybody could be bad to you
You need a good girl to blow your mind, yeah (ahhh, hey!)

[Hook: Jessie J]
Bang bang into the room (I know you want it)
Bang bang all over you (I’ll let you have it)
Wait a minute let me take you there (ah)
Wait a minute 'til you (ahhh, hey!)
Bang bang there goes your heart (I know you want it)
Back, back seat of my car (I’ll let you have it)
Wait a minute let me take you there (ah)
Wait a minute 'til you (ahhh, hey!)

[Verse 2: Ariana Grande]
She might've let you hold her hand in school
But I'mma show you how to graduate (mmhmm)
No, I don't need to hear you talk the talk
Just come and show me what your momma gave, oh yeah
(I heard you've got a very big, shh, mouth but don’t say a thing)
See anybody could be good to you
You need a bad girl to blow your mind (ahhh, hey!)

[Hook: Jessie J & Ariana Grande]
Bang bang into the room (I know you want it)
Bang bang all over you (I’ll let you have it)
Wait a minute let me take you there (ah)
Wait a minute 'til you (ahhh, hey!)

[Collision/Spoken: Nicki Minaj]
You know what, girls?
Let me show you how to do it

[Verse 3: Nicki Minaj]
It’s Myx moscato, it’s frizz in a bottle
It’s Nicki Full Throttle, it’s oh, oh
Swimming in The Grotto, we winning in the lotto
We dipping in the powder blue, four door
Kitten so good, it's dripping on wood
Get a ride in the engine that could go
Batman, robbin' it, bang bang, cockin' it
Queen Nicki dominant, prominent
It's me, Jessie, and Ari, if they test me, they sorry
Ride his uh like a Harley then pull off in his Ferrari
If he hanging we banging, phone ranging, he slanging
It ain't karaoke night but get the mic ‘cause I'm singing

[Bridge: Jessie J & (Nicki Minaj)]
(Uh, B to the A to the N to the G to the uh)
(B to the A to the N to the G to the hey)
See, anybody could be good to you
You need a bad girl to blow your mind, your mind

[Hook: Jessie J & Ariana Grande]
Bang bang into the room (I know you want it)
Bang bang all over you (I’ll let you have it)
Wait a minute let me take you there (ah)
Wait a minute 'til you (ahhh, hey!)

[Collision/Outro: Nicki Minaj + Ariana Grande]
Yeah, I said bang, bang
Bang, bang, bang, bang
Bang, bang, bang
Bang, bang, bang, bang
Bang, bang
Bang, bang, bang, bang
Bang, bang, bang
Wait a minute 'til you"
Bang Bang (Dada Life Remix),The Remix,"[Intro]
Bang, bang, bang, bang...
Hey!
Bang, bang, bang, bang...
Ahhh, hey!
Bang, bang, bang, bang...
Hey!
Bang, bang, bang, bang...
Ahhh, hey!
Bang, bang, bang, bang...
Ahhh, hey!

[Drop]
Hey!
Ahhh, hey!
Hey!
Ahhh, hey!

[Hook: Jessie J]
Bang bang into the room (I know you want it)
Bang bang all over you (I’ll let you have it)
Wait a minute let me take you there (ah)
Wait a minute 'til you (ahhh, hey!)
Bang bang there goes your heart (I know you want it)
Back, back seat of my car (I’ll let you have it)
Wait a minute let me take you there (ah)
Wait a minute 'til you (ahhh, hey!)

[Break]
Bang, bang, bang, bang...
Ahhh, hey!

[Drop]
Hey!
Ahhh, hey!
Hey!
Ahhh, hey!

[Outro]
Bang, bang, bang, bang...
Hey!
Bang, bang, bang, bang...
Ahhh, hey!
Bang, bang, bang, bang...
Hey!
Bang, bang, bang, bang...
Ahhh, hey!"
Be Alright,Dangerous Woman,"[Verse 1]
Midnight shadows
When finding love is a battle
But daylight is so close
So don't you worry 'bout a thing

[Chorus]
We're gonna be alright
We're gonna be alright
We're gonna be alright

[Refrain]
Baby don't you know
All of them tears gon' come and go
Baby you just gotta make up your mind
That every little thing is gonna be alright
Baby don't you know
All of them tears gon' come and go
Baby you just gotta make up your mind
We decide it

[Chorus]
We're gonna be alright
We're gonna be alright
We're gonna be alright

[Verse 2]
In slow motion
Can't seem to get where we're going
But the hard times are golden
Cause they all lead to better days

[Chorus]
We're gonna be alright
We're gonna be alright
We're gonna be alright

[Refrain]
Baby don't you know
All of them tears gon' come and go
Baby you just gotta make up your mind
That every little thing is gonna be alright
Baby don't you know
All of them tears gon' come and go
Baby you just gotta make up your mind
We decide it

[Chorus]
We're gonna be alright
We're gonna be alright, ooh baby
We're gonna be alright
We're gonna be alright"
Be Alright (Demo),,"[Intro: Ariana Grande & Quavo]
Hohhh, hohh, hohh
Migo
Hohh-hohh
Woo

[Verse 1: Ariana Grande & Quavo]
Midnight (midnight) shadows (shadows)
When finding love (ohh) is a battle (battle)
But daylight (daylight) is so close (almost)
So don't you worry (no) 'bout a thing

[Chorus: Quavo & Ariana Grande]
(We're gonna be alright)
You know that we gon' be alright, ayy
You know that we gon' be alright, ayy
You know that we gon' be alright, yeah
You know that we gon' be alright
(We're gonna be alright)
You know that we gon' be alright, ayy
You know that we gon' be alright
You know that we gon' be alright
You know that we gon' be alright
(We're gonna be alright)

[Refrain: Ariana Grande & Quavo]
Baby, don't you know (you know)
All of them tears gon' come and go (you know)
Baby, you just gotta make up your mind (your mind)
That every little thing is gonna be alright (alright)
Baby, don't you know (you know)
All of them tears gon' come and go (you know)
Baby, you just gotta make up your mind (your mind)
We decide it

[Chorus: Ariana Grande & Quavo]
We're gonna be alright (ayy, ayy, yup)
We're gonna be alright (woop, ayy, ooh, ooh)
We're gonna be alright

[Verse 2: Ariana Grande]
In slow motion
Can't seem to get where we're going
But the hard times are golden
'Cause they all lead to better days

[Chorus: Quavo & Ariana Grande]
(We're gonna be alright)
You know that we gon' be alright, ayy
You know that we gon' be alright, ayy
You know that we gon' be alright, yeah
You know that we gon' be alright
(We're gonna be alright)
You know that we gon' be alright, ayy
You know that we gon' be alright
You know that we gon' be alright
You know that we gon' be alright
(We're gonna be alright)

[Refrain: Ariana Grande & Quavo]
Baby, don't you know (you know)
All of them tears gon' come and go (you know)
Baby, you just gotta make up your mind (your mind)
That every little thing is gonna be alright (alright)
Baby, don't you know (you know)
All of them tears gon' come and go (you know)
Baby, you just gotta make up your mind (your mind)
We decide it

[Chorus: Ariana Grande & Quavo]
We're gonna be alright (ayy, ayy, yup)
We're gonna be alright (woop, ayy, ooh, ooh)
We're gonna be alright (Migo, Quavo)

[Verse 3: Quavo & Takeoff]
If you wanna, gotta get your mind right (mind right)
Got me thinkin' 'bout lil' mama all night (all night)
We gon' have a good time 'cause it's only right (ayy)
An' we all gon' drink past midnight (drink)
She do whatever she wanna (she do it)
She diggin' my Migo-persona (she dig it)
She wantin' me to meet her momma (momma)
'Cause I'm puttin' it on her every morning (put it on her, Takeoff)
Baby, don't worry 'bout nothin', we gon' be alright (uh-uh)
You been strugglin' the price 'cause you ain't livin' right (no!)
I think it's time to exit and show you the Migo-life (damn)
Willin' to listen, learn, baby, and earn stripes (damn)
Wanna know your personality, get to feelin' you (for real)
No carin' 'bout the Celine, nothin' material (nah)
Walkin' in public, people sneakin' to take a pic' of you (flash)
If I could pick one girl in the world, I would be with you (Takeoff)

[Refrain: Ariana Grande & Quavo]
Baby, don't you know (you know)
All of them tears gon' come and go (you know)
Baby, you just gotta make up your mind (your mind)
That every little thing is gonna be alright (alright)
Baby, don't you know (you know)
All of them tears gon' come and go (you know)
Baby, you just gotta make up your mind (your mind)
We decide it

[Chorus: Quavo & Ariana Grande]
(We're gonna be alright)
You know that we gon' be alright, ayy
You know that we gon' be alright, ayy
You know that we gon' be alright, yeah
You know that we gon' be alright
(We're gonna be alright)
You know that we gon' be alright, ayy
You know that we gon' be alright
You know that we gon' be alright
You know that we gon' be alright
(We're gonna be alright)

[Outro: Quavo & Ariana Grande]
Migo
We're gonna be alright"
Be Alright (Justin Bieber Cover),,"[Verse 1]
Across the ocean, across the sea
Starting to forget the way you look at me now
Over the mountains, across the sky
Need to see your face, I need to look in your eyes
Through the storm and through the clouds
Bumps in the road, and upside down now
I know it's hard babe to sleep at night

[Chorus 1]
Don't you worry, 'cause everything's gonna be alright
Be alright
Through the sorrow and the fights
Don't you worry, 'cause everything's gonna be alright
Be alright

[Verse 2]
All alone in my room
Waiting for your phone call to come soon
And for you, oh, I would walk a thousand miles
To be in your arms and holding my heart
Oh I, oh I, I love you

[Chorus]
And everything's gonna be alright
Be alright
Through the long nights and the bright lights
Don't you worry, 'cause everything's gonna be alright
Be alright

[Bridge]
You know that I care for you
I'll always be there for you
Promise I'll just stay right here
I know that you want me too
Baby, we can make it through anything

[Chorus]
Cause everything's gonna be alright
Be alright
Through the sorrow and the fights
Don't you worry, 'cause everything's gonna be alright
Be alright
Through the sorrow and the fights
Don't you worry
Cause everything's gonna be alright
Be alright"
Beauty and the Beast,The Best,"[Verse 1: Ariana Grande]
Tale as old as time
True as it can be
Barely even friends
Then somebody bends
Unexpectedly

[Chorus: John Legend + Both]
Just a little change
Small to say the least
Both a little scared
Neither one prepared
Beauty and the Beast

[Bridge: Ariana Grande & John Legend]
Ever just the same
Ever a surprise
Ever as before
Ever just as sure
As the sun will rise

Ever just the same, oh
And ever a surprise, yeah
Ever as before
And ever just as sure
As the sun will rise
Oh-oh-oooooh

[Verse 2: Ariana Grande & John Legend]
Tale as old as time, a-a-ay
Tune as old as song, oh
Bitter-sweet and strange
Finding you can change
Learning you were wrong, woah

[Chorus: Ariana Grande & John Legend + Both]
Certain as the sun
Certain as the sun
Rising in the east
Tale as old as time
Song as old as rhyme
Beauty and the Beast

[Outro: Ariana Grande & John Legend + Both]
Tale as old as time
Song as old as rhyme
Beauty and the Beast
Woah
A-a-ay
Beauty and....
Beauty and the Beast"
Be My Baby,My Everything,"[Chorus]
If you know how to be my lover
Maybe you can be my baby
Hold me close under the covers
Kiss me boy, and drive me crazy
Be my, be my, be my, be my
Be my baby
Be my, be my
Be my baby, and drive me crazy

[Verse 1]
If you know how to treat me
You know how to touch me
Baby, then you’ll get the chance, the chance to love me
It’s obvious I want to be into you
But it all depends on all the things you do
'Cause babe, I promise, I promise
If you keep it real with me, be honest, be honest
You can get anything you want, that you want babe
Just show me everything I need to see
I’ll give you anything, boy

[Chorus]
If you know how to be my lover
Maybe you can be my baby
Hold me close under the covers
Kiss me boy and drive me crazy
Be my, be my, be my, be my
Be my baby
Be my, be my
Be my baby, and drive me crazy

[Verse 2]
I’ll give you all of my trust if you don’t mess this up
You ain't tryna get no other girls when you in the club
All you got is eyes for me
I'm the only girl you see
So if you treat me right just the way that I want you
Oh, baby boy, I promise that I’ll be on you
Oh-oh-oh-oh-oh-oh, on you
Night to the mo-o-o-o-o-orning

[Chorus]
If you know how to be my lover
Maybe you can be my baby
Hold me close under the covers
Kiss me boy and drive me crazy
Be my, be my, be my, be my
Be my baby
Be my, be my
Be my baby, and drive me crazy

[Bridge]
I’ll give you all of my trust, if you don’t mess this up
You ain't tryna get no other girls when you in the club
All you got is eyes for me
I'm the only one you see

[Chorus]
If you know how to be my lover (Be my)
Maybe you can be my baby
Hold me close under the covers
Kiss me boy and drive me crazy
Be my, be my, be my, be my
Be my baby
Be my, be my
Be my baby, and drive me crazy"
Best Mistake,My Everything,"[Verse 1: Ariana Grande]
How soon do we forget how we felt?
Dealing with emotions that never left
Playing with the hand that we were dealt in this game
Maybe I'm the sinner and you're the saint
Gotta stop pretending what we ain't
Why we pointing fingers anyway when we're the same?

[Pre-Chorus: Ariana Grande]
Break up, make up
Total waste of time
Can we please make up our minds and stop acting like we’re blind?
'Cause if the water dries up and the moon stops shining
Stars fall, and the world goes blind
Boy, you know I'll be savin' my love for you, for you

[Chorus: Ariana Grande]
'Cause you're the best mistake I've ever made
But we hold on, hold on
There's no pot of gold in the rainbows we chase
But we hold on, hold on, yeah

[Verse 2: Big Sean]
I guess time's wasting
Tick-tocking, lip locking
How can we keep the feelings fresh?
How do we zip lock it?
Wear your heart up on your sleeve
So watch out for pickpockets
I guess to go the distance we might need to pit stop it
Hold up, I know love can be a beach with no shore
I done count to ten, lost my temper and went back to four
I know sometimes it's hard to realize I'm the man that you need
I had a dream we branched out, started a family tree, huh
And I feel like that everything we do is overdue
You asked why I love your mom so much, 'cause she's a older you
I wish that you were happy
I guess that's the one thing I should be providing
Ain't no number twos
We both ones of ones, and we the oddest couple
Only humans, 'cept you, you a goddess
Only lying to you when I lie you down, just being honest
When you start as friends, it's hard to say you're never going back
If I'm not the one, then I'm the best mistake you ever had

[Pre-Chorus: Ariana Grande]
Break up, make up
Total waste of time
Can we please make up our minds and stop acting like we’re blind?
'Cause if the water dries up and the moon stops shining
Stars fall, and the world goes blind
Boy, you know I'll be savin' my love for you, for you

[Chorus: Ariana Grande]
'Cause you're the best mistake I've ever made
But we hold on, hold on
There's no pot of gold in the rainbows we chase
But we hold on, hold on, yeah

[Outro: Ariana Grande & Big Sean]
You, you, you, you
I'll be savin' my love for you, for you
You, you, you, you
(Best mistake you ever had)
I'll be savin' my love for you, for you"
Better Days - Live from One Love Manchester,One Love Manchester,"[Ariana Grande]
Manchester!
Put your hands up!

[Victoria Monet + Ariana Grande]
Mmhmm
Hey, hey

[Verse 1: Victoria Monet]
Baby, there's a war right outside our window
Don't you hear the people fighting for their lives?
Baby, there's a war right outside our window
But it's gon' be alright 'long as I got you with me

[Pre-Chorus: Victoria Monet + Ariana Grande]
In your arms, I find my shelter
Deep in your love, I will hide
Baby, you and me stop the world when we're together
You find a way to take my mind

[Chorus 1: Victoria Monet + Ariana Grande]
Hoping for better days, better days
Days where things are better
Hoping for better days, better days
Need some better days
Hoping for better days, better days
Days where things are better
Hoping for better days, better days
Need some better days

[Bridge: Ariana Grande]
So how we gonna stop the violence, stop the hurting?
Stop the hatred, stop the murders
We're all human, that's for certain
Come together, we deserve it
What kind of life will our babies have if we don't change up and make it last?
It starts right here, starts right now
We'll love and hope for...

[Chorus: Victoria Monet + Ariana Grande]
Better days, better days
Days where things are better
Hoping for better days, better days
Need some better days
Hoping for better days, better days
Days where things are better
Hoping for better days, better days
Need some better days
Hoping for better days, better days
Days where things are better
Hoping for better days, better days
Need some better days
Hoping for better days, better days
Days where things are better
Hoping for better days, better days
Need some better days"
Better Left Unsaid,Yours Truly,"[Verse 1]
I told you once, ""Get out my life
I don't need ya
I'll be alright.""
But some things are better left unsaid
To tell the truth, it hit me hard
My broken heart is all I have now
But some things are better left unsaid

[Pre-Chorus]
And I swore that I would never say
""I miss you more every day""
But some things are better left unsaid
Are better left unsaid, said, said

[Chorus]
Oh, I'm gonna say things like ""shut up and kiss me""
Oh, tonight I'm gonna lose some things
Don't play me, just kiss me
If you wanna party, put your hands up
Put your hands up, put your hands up
Don't play me just kiss me, oh
I'll never say ""please""
Don't play me, just kiss me

[Verse 2]
I could tell a lie
Blame tonight
Too many drinks
So many reasons that some things are better left unsaid

[Pre-Chorus]
And I swore that I would never say
""I miss you more every day""
But some things are better left unsaid
Are better left unsaid, said, said

[Chorus]
Oh, I'm gonna say things like ""shut up and kiss me""
Oh, tonight I'm gonna lose some things
Don't play me, just kiss me
If you wanna party, put your hands up
Put your hands up, put your hands up
Don't play me just kiss me, oh
I'll never say ""please""
Don't play me, just kiss me
If you wanna party, put your hands up
Put your hands up, put your hands up
Don't play me just kiss me, oh
I'll never say ""please""
Don't play me, just kiss me

[Bridge]
If you wanna party, put your hands up
Put your hands up put your hands up
If you wanna party, put your hands up
Put your hands up put your hands up

[Outro]
I could tell a lie
Blame tonight
Too many drinks
So many reasons that some things are better left unsaid"
​better off,Sweetener,"[Verse 1]
You keep me in your orbit
Well, I know I'm a hard one to please
Give it too much importance
My love'll have you fall to your knees
I tell them this too often
Know better than to bark up my tree
Just for me to fall and leave
Nah, I'd rather just watch you smoke and drink, yeah

[Pre-Chorus]
Steering clear of any headaches to start
And if we're being honest
I'd rather your body than half of your heart
Or jealous-ridden comments
That come when you let in them feelings that I don't want
I never let 'em know too much
Hate gettin' too emotional, oh, yeah

[Chorus]
I'm better off without him
I'm better off being a wild one
On the road a lot, had to keep it a thousand
So that I'm better off not being around ya

[Verse 2]
Go on and face it, I'll never be ready for you, ready for you
I swear my love is a curse, make you head over shoes, head over shoes
Let's put them topics to bed and go fuck on the roof, just to say that we did it
You keep insisting I listen to your proposition
I dismiss them all, no offense, yeah

[Pre-Chorus]
Steering clear of any headaches to start
And if we're being honest
I'd rather your body than half of your heart
Or jealous-ridden comments
That come when you let in them feelings that I don't want
I never let 'em know too much
Hate gettin' too emotional, yeah

[Chorus]
I'm better off without him
I'm better off being a wild one
On the road a lot, had to keep it a thousand
So that I'm better off not being around ya
I'm better off without him
I'm better off being a wild one
On the road a lot, had to keep it a thousand
So that I'm better off not being around ya"
Blame (Am I),,Lyrics are unknown at the moment
