title,album,lyrics
Love Me Harder (Gregor Salto Amsterdam Mix),The Remix,"[Chorus]
'Cause if you want to keep me
You gotta, gotta, gotta, gotta
Got to love me harder
And if you really need me
You gotta, gotta, gotta, gotta
Got to love me harder (lo-love me harder)
Ooh-ooh-ooh-ooh
Love me, love me, love me
Ooh-ooh-ooh-ooh
Harder, harder, harder

[Instrumental Drop]

[Chorus]
'Cause if you want to keep me
You gotta, gotta, gotta, gotta
Got to love me harder
And if you really need me
You gotta, gotta, gotta, gotta
Got to love me harder (lo-love me harder)
Ooh-ooh-ooh-ooh
Love me, love me, love me
Ooh-ooh-ooh-ooh
Harder, harder, harder

[Instrumental Drop]"
Love Me Harder (Kassiano Remix),The Remix,"[Chorus]
'Cause if you want to keep me
You gotta, gotta, gotta, gotta
Got to love me harder
(Hey, hey, hey, hey, hey...)

[Drop]
Hey, hey
Hey, hey
Hey, hey
Hey, hey

[Chorus]
'Cause if you want to keep me
You gotta, gotta, gotta, gotta
Got to love me harder
(Hey, hey, hey, hey, hey...)

[Drop]
Hey, hey
Hey, hey
Hey, hey
Hey, hey"
Love The Way You Lie,,"On the first page of our story
The future seemed so bright
Then this thing turned out so evil
Don't know why I'm still surprised

Even angels have their wicked schemes
And you take that to new extremes
But you'll always be my hero
Even though you've lost your mind

Just gonna stand there and watch me burn
But that's all right because I like the way it hurts
Just gonna stand there and hear me cry
But that's all right because I love the way you lie
I love the way you lie
Oh, I love the way you lie
Ohh yeah

Now there's gravel in our voices
Glass is shattered from the fight
In this tug of war you'll always win
Even when I'm right

Cause you feed me fables from your hands
With violent words and empty threats
And it's sick that all these battles
Are what keeps me satisfied

Just gonna stand there and watch me burn
But that's all right because I like the way it hurts
Just gonna stand there and hear me cry
But that's all right because I love the way you lie
I love the way you lie
Oh, I love the way you lie

So maybe I'm a masochist
I try to run but I don't wanna ever leave
Till these walls are going up
In smoke with all our memories

Just gonna stand there and watch me burn
But that's all right because I like the way it hurts
Just gonna stand there and hear me cry
But that's all right because I love the way you lie
I love the way you lie
Oh, I love the way you lie"
Lovin' It,Yours Truly,"[Intro]
Baby, don’t you know you’ve got all my love, all my love?
Baby, don’t you know you’ve got all my love, all my love?

[Verse 1]
Hold up, wait
Before you go
Just stay and talk to me for a little
Baby, won't you loosen up just a little, eh?

[Pre-Chorus]
See, what you don’t understand
Is falling in love wasn’t part of my plan
Started with a crush, now I call you my man
Doubt that I’ll ever fall in love, ever fall in love again
'Cause you give me chills every time we chill
I spend all of my days doing, doing...

[Chorus]
Nothing but loving you
Nothing but loving you, baby
Boy, you got all my time
I’m loving your loving
I’m loving, I’m loving you, baby
Boy you got all my, all my love and affection, all my attention
You don’t gotta question if I’m really loving your loving
I’m loving, I’m loving you, baby
Boy, you got all my, all my

[Verse 2]
Hold up, wait
Shut up and kiss me babe
I just wanna get a little taste
I just wanna get a little taste before you go

[Pre-Chorus]
See, what you don’t understand
Is falling in love wasn’t part of my plan
Started with a crush, now I call you my man
Doubt that I’ll ever fall in love, ever fall in love again
'Cause you give me chills every time we chill
I spend all of my days doing, doing...

[Chorus]
Nothing but loving you
Nothing but loving you, baby
Boy, you got all my time
I’m loving your loving
I’m loving, I’m loving you, baby
Boy you got all my, all my love and affection, all my attention
You don’t gotta question if I’m really loving your loving
I’m loving, I’m loving you, baby
Boy, you got all my, all my

[Bridge]
Time and my trust
Don't mess this up
You got me falling in love
You got me falling in love
You got me falling so hard
Boy, you change the way I breathe, when you put your lips on me
I adore you
So let me make it clear to you, that boy you’re all I need
My baby

[Chorus]
Nothing but loving you
Nothing but loving you, baby
Boy, you got all my time
I’m loving your loving
I’m loving, I’m loving you, baby
Boy you got all my, all my love and affection, all my attention
You don’t gotta question if I’m really loving your loving
I’m loving, I’m loving you, baby
Boy, you got all my, all my

[Outro]
Baby, don’t you know you’ve got all my love, all my love?
Baby, don’t you know you’ve got all my love, all my love?"
Moonlight,Dangerous Woman,"[Verse 1]
The sun is setting
And you're right here by my side
And the movie's playing
But we won't be watching tonight
Every look, every touch
Makes me wanna give you my heart
I be crushin' on you, baby
Stay right where you are 'cause

[Chorus]
I never knew, I never knew
You could hold moonlight in your hands
'Til the night I held you
You are my moonlight
Moonlight

[Verse 2]
I kiss his fingertips
As I'm wishing he's all mine
He's giving me Elvis
With some James Dean in his eyes
Puts his lips (puts his lips) on my neck (on my neck)
Makes me want to give him my body
I be fallin' for you, baby
And I just can't stop 'cause

[Chorus]
I never knew, I never knew
You could hold moonlight in your hands
'Til the night I held you
You are my moonlight
Moonlight
Baby, I be fallin'
You are my moonlight
Moonlight

[Verse 3]
He's so bossy
He makes me dance
Tryna sit in the back of his whip
And just cancel my plans
Sweet like candy
But he's such a man
He knows just what it does
When he’s holding me tight
And he calls me ""Moonlight"" too"
My Everything,My Everything,"[Verse 1]
I cried enough tears to see my own reflection in them
And then it was clear
I can't deny, I really miss him
To think that I was wrong
I guess you don't know what you got 'til it's gone
Pain is just a consequence of love
I'm saying sorry for the sake of us

[Chorus]
He wasn't my everything 'til we were nothing
And it's taking me a lot to say
Now that he's gone, my heart is missing something
So it's time I push my pride away
'Cause you are, you are
You are my everything
You are, you are
You are my everything

[Verse 2]
I know you're not far, but I still can't handle all the distance
You're travelling with my heart
I hope this is a temporary feeling
'Cause it's too much to bear without you
And I know sorry ain't the cure
If I cross your mind, just know I'm yours
'Cause what we got is worth fighting for
'Cause you are

[Chorus]
You weren't my everything 'til we were nothing
And it's taking me a lot to say
Now that you're gone, my heart is missing something
So it's time I push my pride away
You are, you are
You are my everything
You are, you are
You are my everything"
My Way,,"Lyrics will be updated upon release

[Verse]

We the best Boy, you better keep one or think twice
Notice I'm the best one to keep by
Guess I shouldn't stay so

[Chorus]
You say I learn the lessons on the hard way
It take every ounce of effort just to parlay
Boy, it's always in my favor, it go my way, my way"
​needy,"thank u, next","[Verse]
I say sorry way too much
You can go ahead and call me selfish (Selfish)
But after all this damage I can't help it (Help it)
The one you can trust, ’cause I need your touch
I'mma scream and shout the one I love
Passionate but I don't give no fucks
I admit that I’m a lil' messed up
But I can hide it when I'm all dressed up
I'm obsessive and I love too hard
Good at overthinking with my heart
How you even think it got this far?
This far

[Chorus]
And I can be needy, way too damn needy
I can be needy, tell me how good it feels to be needed
I can be needy, so hard to please me
I know it feels so good to be needed"
Nobody Does It Better,,"[Intro]
So what we gon' do?
So what you gon' do?
So what we gon' do?
So what you gon' do?

[Verse 1]
You said you'd never forget her
And she said she could change your life
It happened on the day you met her
A love at first sight made you blind

[Pre-Chorus]
But I warned you she wasn't who she claimed to be
And no one could love you like me

[Chorus]
Cause nobody does it better
I know you're sittin' at home cryin' cause you miss me
Nobody does it better
You must be out of your mind, boy, what was you thinkin'?
Yeah nobody does it
No one, no one
No-no-nobody does it
No one, no one
No-no-nobody does it better

[Verse 2]
Don't throw your heart out in a letter
Cause I already read your mind
You know you missed out on forever
And settled for a waste of time

[Pre-Chorus]
But I warned you she wasn't who she claimed to be
And no one could love you like me

[Chorus]
Cause nobody does it better
I know you're sittin' at home cryin' cause you miss me
Nobody does it better
You must be out of your mind, boy, what was you thinkin'?
Yeah nobody does it
No one, no one
No-no-nobody does it
No one, no one
No-no-nobody does it better

[Instrumental Bridge]

[Pre-Chorus]
But I warned you she wasn't who she claimed to be
And no one could love you like me

[Chorus]
Cause nobody does it better
I know you're sittin' at home cryin' cause you miss me
Nobody does it better
You must be out of your mind, boy, what was you thinkin'?
Yeah nobody does it (Say no one, say no one)
No one, no one
No-no-nobody does it
No one, no one
No-no-nobody does it better

[Outro]
So what we gon' do?
No-no-nobody does it
So what you gon' do?
So what we gon' do?
No-no-nobody does it better
So what you gon' do?
No-no-nobody does it better
No-no-nobody does it better"
Normal Day,,Vixa
Not Afraid Of Love,,"[Verse 1]
I know you want what's best for me
I know you've been waiting patiently
You got my hand over the fire
I know you wanna take me higher

[Pre-Chrous]
I don't wanna jump until I'm sure
It's not like my heart is insecure
The moment I'm ready
I'll just know it
I'm gonna know it

[Chrous]
Oh no, baby not this way
Oh no, but I'm not afraid of love
A little more time and I'll take you there
Oh no, baby, not today
But love, come on if you rage in love
I want it
A little more time
And I'll take you there

[Verse 2]
You make it hard, boy to resist
A little more space
I must insist
Too close
You're intoxicating
Makes me wonder why I'm waiting

[Pre-Chrous]
I'll give up the fight
When I know it's right
Baby, baby, not tonight
Oh oh, a little more time
And I'll take you there

[Chrous]
Oh no, baby not this way
Oh no, but I'm not afraid of love
A little more time
And I'll take you there
Oh no, baby not today
But love
Come on if you rage in love
I want it
A little more time
And I'll take you there

[Bridge]
Only time can tell me if this is real
Or if we're rushing how we feel
Is it my imagination?
Is it a perfect situation?
No
I didn't wanna fall in love
But you made me go and do it
And now you gotta prove it
A little more time and I'll take you there

[Chrous]
Oh no, baby not this way
Oh no, but I'm not afraid of love
A little more time and I'll take you there
Oh no, baby not today
But love, come on if you rage in love
I want it
A little more time
And I'll take you there
Baby, not this way
Oh no, but I'm not afraid of love
A little more time
And I'll take you there
Oh no, baby not today
But love, come on if you rage in love
I want it
A little more time and I'll take you there

[Outro]
And I'm gonna take you there
And I'm gonna take you there
And I'm gonna take you there
And I'm gonna take you there
A little more time and I'll take you there"
​​no tears left to cry,Sweetener,"[Intro]
Right now, I'm in a state of mind
I wanna be in like all the time
Ain't got no tears left to cry
So I'm pickin' it up, pickin' it up
I'm lovin', I'm livin', I'm pickin' it up
I'm pickin' it up, pickin' it up
I'm lovin', I'm livin', I'm pickin' it up (Oh, yeah)

[Refrain]
I'm pickin' it up (Yeah), pickin' it up (Yeah)
Lovin', I'm livin', so we turnin' up
Yeah, we turnin' it up

[Verse 1]
Ain't got no tears in my body
I ran out, but boy, I like it, I like it, I like it
Don't matter how, what, where, who tries it
We out here vibin', we vibin', we vibin'

[Pre-Chorus]
Comin' out, even when it's rainin' down
Can't stop now, can't stop so shut your mouth
Shut your mouth, and if you don't know
Then now you know it, babe
Know it, babe, yeah

[Chorus]
Right now, I'm in a state of mind
I wanna be in like all the time
Ain't got no tears left to cry
So I'm pickin' it up, pickin' it up (Oh yeah)
I'm lovin', I'm livin', I'm pickin' it up
Oh, I just want you to come with me
We're on another mentality
Ain't got no tears left to cry (To cry)
So I'm pickin' it up, pickin' it up (Oh yeah)
I'm lovin', I'm livin', I'm pickin' it up

[Refrain]
Pickin' it up (Yeah), pickin' it up (Yeah)
Lovin', I'm livin', so we turnin' up (We turnin' it up)
Yeah, we turnin' it up

[Verse 2]
They point out the colors in you, I see 'em too
And, boy, I like 'em, I like 'em, I like 'em
We're way too fly to partake in all this hate
We out here vibin', we vibin', we vibin'

[Pre-Chorus]
Comin' out, even when it's rainin' down
Can't stop now, can't stop, so shut your mouth
Shut your mouth, and if you don't know
Then now you know it, babe
Know it, babe, yeah

[Chorus]
Right now, I'm in a state of mind
I wanna be in like all the time
Ain't got no tears left to cry
So I'm pickin' it up, pickin' it up (Oh yeah)
I'm lovin', I'm livin', I'm pickin' it up
Oh, I just want you to come with me
We're on another mentality
Ain't got no tears left to cry (To cry)
So I'm pickin' it up, pickin' it up (Oh yeah)
I'm lovin', I'm livin', I'm pickin' it up

[Pre-Chorus]
Comin' out, even when it's rainin' down
Can't stop now (Hmm, oh)
Shut your mouth
Ain't got no tears left to cry
Oh yeah, oh yeah

[Chorus]
Oh, I just want you to come with me
We're on another mentality
Ain't got no tears left to cry (Cry)
So I'm pickin' it up, pickin' it up (Oh yeah)
I'm lovin', I'm livin', I'm pickin' it up

[Refrain]
Pickin' it up, pickin' it up
Lovin', I'm livin', so we turnin' up
Yeah, we turnin' it up"
Not Just On Christmas,Christmas & Chill - EP,"[Refrain 1]
I'll love you till I die, boy
Every day of my life
I celebrate you, baby
I adore you, not just on Christmas

[Refrain 2]
Wanna show you in so many ways
365 days
I'll give you all my presents, boy
I'm for you, not just on Christmas

[Refrain 3]
Baby, whether rain or shine
Naughty or nice
I'm by your side
Ooh, ooh
Ooh, ah
Ah

[Refrain 1]
I'll love you till I die, boy
Every day of my life
I celebrate you, baby
I adore you, not just on Christmas

[Refrain 3]
Baby, whether rain or shine
Naughty or nice
I'm by your side
Ooh, ooh
Ooh, ah
Ah"
One Last Time,My Everything,"[Verse 1]
I was a liar
I gave in to the fire
I know I should’ve fought it
At least I’m being honest
Feel like a failure
'Cause I know that I failed you
I should’ve done you better
'Cause you don’t want a liar

[Pre-Chorus]
And I know, and I know, and I know she gives you everything
But boy, I couldn’t give it to you
And I know, and I know, and I know that you got everything
But I got nothing here without you

[Chorus]
So one last time
I need to be the one who takes you home
One more time
I promise after that, I’ll let you go
Baby, I don’t care if you got her in your heart
All I really care is you wake up in my arms
One last time
I need to be the one who takes you home

[Verse 2]
I don’t deserve it
I know I don’t deserve it
But stay with me a minute
I swear I’ll make it worth it
Can’t you forgive me?
At least just temporarily
I know that this is my fault
I should have been more careful

[Pre-Chorus]
And I know, and I know, and I know she gives you everything
But boy, I couldn’t give it to you
And I know, and I know, and I know that you got everything
But I got nothing here without you, baby

[Chorus]
So one last time
I need to be the one who takes you home
One more time
I promise after that, I’ll let you go
Baby, I don’t care if you got her in your heart
All I really care is you wake up in my arms
One last time
I need to be the one who takes you home

[Bridge]
I know I should've fought it
At least I'm being honest, hey
Please stay with me a minute
I swear I’ll make it worth it, yeah
'Cause I don’t want to be without you

[Chorus]
So one last time
I need to be the one who takes you home
One more time
I promise after that, I’ll let you go
Baby, I don’t care if you got her in your heart
All I really care is you wake up in my arms
One last time
I need to be the one who takes you home

[Outro]
One last time
I need to be the one who takes you home"
One Last Time (Attends-moi),,"[Ariana Grande]
I was a liar, I gave into the fire
I know I should've fought it
At least I'm being honest
Feel like a failure 'cause I know that I failed you
I should've done you better
'Cause you don't want a liar

And I know, and I know, and I know
She gives you everything but boy, I couldn't give it to you

[Kendji Girac]
Mon amour, mon amour, mon amour
Sans toi, plus rien ne brille, plus aucun rêve ne me tient debout

[Ariana Grande]
So one last time
I need to be the one who takes you home
One more time
I promise after that, I'll let you go
Baby, I don't care if you got her in your heart
All I really care is you wake up in my arms
One last time
I need to be the one who takes you home

[Kendji Girac]
Tout seul je dérive
Si de ta peau tu me prives
Les minutes sont des années
Quand le cœur se laisse aller
Viens, on recommence
On s'accorde une deuxième chance
Rattrapons le temps gâché
Arrêtons de nous cacher

Mon amour, mon amour, mon amour
J'pourrais changer d'avis mais tu resteras mon seul amour

[Ariana Grande]
And I know, and I know, and I know
That you got everything, but I got nothing here without you, baby

[Kendji Girac]
Oui, attends-moi
Si tu t'enfuis, je suis juste un fantôme (juste un fantôme)
Attends-moi
Sans toi, je suis sans vie, sans idéaux
Je sais qu'on ne peut jamais remonter le temps
Pourquoi ne pas s'apprendre à s'aimer au présent ?
Attends-moi
Si tu t'enfuis, je suis juste un fantôme

[Ariana Grande]
I know I should've fought it
At least I'm being honest, yeah...
But stay with me a minute
I swear I'll make it worth it, yeah
'Cause I don't wanna be without you (oh...)

So one last time
I need to be the one who takes you home (who takes you home, babe!)
One more time (oh yeah)
I promise after that, I'll let you go (I promise that, I'll let you go)
Baby, I don't care if you got her in your heart, babe
All I really care is you wake up in my arms, oh!
One last time
I need to be the one who takes you home, yeah (ooh!)

[Kendji Girac]
Attends-moi
Si tu t'enfuis, je suis juste un fantôme"
One Last Time [DWT Version],,"I was a liar
I gave into the fire
I know I should've fought it
At least I'm being honest
Feel like a failure
'Cause I know that I failed you
I should've done you better
'Cause you don't want a liar (come on)

And I know, and I know, and I know
She gives you everything but boy I couldn't give it to you
And I know, and I know, and I know
That you got everything
But I got nothing here without you

So one last time
I need to be the one who takes you home
One more time
I promise after that, I'll let you go
Baby I don't care if you got her in your heart
All I really care is you wake up in my arms
One last time
I need to be the one who takes you home

So one last time
I need to be the one who takes you home
One more time
I promise after that, I'll let you go
Baby I don't care if you got her in your heart
All I really care is you wake up in my arms
One last time
I need to be the one who takes you home, yeah

One last time
I need to be the one who takes you home"
One Last Time (ft. Fedez),,"[Verse 1]
I was a liar, I gave into the fire
I know I should've fought it
At least I'm being honest
Feel like a failure 'cause I know that I failed you
I should've done you better
'Cause you don't want a liar

[Pre-Chorus]
And I know, and I know, and I know
She gives you everything but boy, I couldn't give it to you
And I know, and I know, and I know
That you got everything, but I got nothing here without you

[Chorus]
So one last time
I need to be the one who takes you home
One more time
I promise after that, I'll let you go
Baby, I don't care if you got her in your heart
All I really care is you wake up in my arms
One last time
I need to be the one who takes you home

[Verse 2]
Io coi jeans sempre uguali
Tu giacca Armani
Le firme sui muri
Tu capi firmati
Giochiamo al gioco delle differenze sociali
Giochiamo al gioco delle differenze sociali
Tu i viaggi, i regali, le fedi nuziali
Noi al massimo a scambiarci le fedine penali
Giochiamo al gioco delle differenze sociali
Giochiamo al gioco delle differenze sociali
Mai stato un tipo da spiaggia o da bagnasciuga
Meglio l’uomo con l’uccello che con la tartaruga
Il tuo capo è firmato il mio capo è incazzato
Il tuo capo è firmato il mio capo è incazzato

And I know, and I know, and I know
That you got everything, but I got nothing here without you, baby
Io sono diventato quello che hai sempre odiato
E sono diventato quello che hai sempre amato

[Chorus]
So one last time
I need to be the one who takes you home
One more time
I promise after that, I'll let you go
Baby, I don't care if you got her in your heart
All I really care is you wake up in my arms
One last time
I need to be the one who takes you home

[Bridge]
I know I should've fought it
At least I'm being honest, yeah...
But stay with me a minute
I swear I'll make it worth it, yeah
'Cause I don't want to be without you

[Chorus]
So one last time (oh one last time!)
I need to be the one who takes you home (who takes you home, babe!)
One more time
I promise after that, I'll let you go (I promise that, I'll let you go)
Baby, I don't care if you got her in your heart, babe
All I really care is you wake up in my arms, oh!
One last time
I need to be the one who takes you home, yeah (ooh!)

[Outro]
One last time
I need to be the one who takes you home"
One Last Time (My Everything),,"Https://genius.com/Ariana-grande-one-last-time-lyrics
I was a liar
I gave into the fire
I know I should've fought it
At least I’m being honest
Feel like a failure
'Cause I know that I failed ya
I should've done you better
’Cause you don't want a liar (Come on)

And I know, and I know, and I know
She gives you everything but boy I couldn't give it to you
And I know, and I know, and I know
The you've got everything but I've got nothing here without you

So one last time
I need to be the one who takes you home
One more time
I promise after that I'll let you go
Baby, I don't care if you've got here in your heart
All I really care is you wake up in my arms
One last time
I need to be the one who takes you home

I don’t deserve it
I know I don’t deserve it
But stay with me a minute
I swear I'll make it worth it
Can’t you forgive me
At least just temporarily
I know that this is my fault
I should have been more careful (Come on)

And I know, and I know, and I know
She gives you everything but boy I couldn't give it to you
And I know, and I now, and I know
That you got everything but I've got nothing here without you baby

So one lat time
I need to be the one who takes you home
One more time
I promise after that I'll let you go
Baby I don’t care if you've got her in your heart
All I really care is you wake up in my arms
One last time
I need to be the one who takes you home

I know I should have fought it
At least I'm being honest, hey
Now stay with me a minute
I swear I'll make it worth it, hey
'Cause I don't want to be without you

So one last time
I need to be the one who takes you home
One more time
I promise after that I'll let you go
Baby I don't care if you've got her in you heart
All I really care in you wake up in my arms
One last time
I need to be the one who takes you home

One last time
I need to be the one who takes you home"
Only 1,My Everything,"[Intro]
I want you, I want you
I want you, I want you
I want you, I want you
Let me introduce myself
Let me introduce myself
Let me introduce myself

[Verse 1]
Looking in your eyes makes me wonder how
I got so much time with you and there's more around
I know all the competition that's after you
So I get to thinking, is this too good to be true?

[Pre-Chorus]
That we’re living in a fairytale, no malice, and no lies
Baby, ooh, it's hard to believe
That the love you have inside is only mine
That's how I know

[Chorus]
I can't be your only one
No, I can't be your only one
'Cause you look twice as good as anyone I ever met
And your love is three times better
How could anyone forget?
No, I can't
I can't be your only one
No, I can't be your only one
'Cause you look twice as good as anyone I ever met
And your love is three times better
How could anyone forget?
No, I can't

[Verse 2]
As I'm laying down with you every night
It still gets to me, that you remain by my side
I ain't saying that I'm not deserving of you
But I was dreaming bigger than I ever knew

[Pre-Chorus]
That we’re living in a fairytale, no malice, and no lies
Baby ooh, it's hard to believe
That the love you have to give is only mine
That's how I know

[Chorus]
I can't be your only one
No, I can't be your only one
'Cause you look twice as good as anyone Iever met
And your love is three times better
How could anyone forget?
No, I can't
I can't be your only one
No, I can't be your only one
'Cause you look twice as good as anyone I ever met
And your love is three times better
How could anyone forget?
No, I can't"
Only Girl (in the World),,"[Intro]
La la la la
La la la la
La la la la
La la la la

[Verse 1]
I want you to love me, like I'm a hot ride
Be thinkin' of me, doin' what you like
So boy, forget about the world
’Cause it's gon' be me and you tonight
I wanna make you beg for it
Then I'mma make you swallow your pride
Oooohhh

[Chorus]
Want you to make me feel like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world...
Like I'm the only one that's in command
’Cause I'm the only one who understands
How to make you feel like a man, yeah
Want you to make me feel like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only one...

[Verse 2]
Want you to take it like a thief in the night
Hold me like a pillow, make me feel right
Baby, I'll tell you all my secrets that I'm keepin', you can come inside
And when you enter, you ain't leavin', be my prisoner for the night
Oooohhh

[Chorus]
Want you to make me feel like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world...
Like I'm the only one that's in command
’Cause I'm the only one who understands
How to make you feel like a man, yeah
Want you to make me feel like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only one...

[Bridge]
Take me for a ride, ride
Oh baby, take me high, high
Let me make you rise, rise
Oh make it last all night, night
Take me for a ride, ride
Oh baby, take me high, high
Let me make you rise, rise
Make it last all night

[Chorus]
Want you to make me feel like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world...
Like I'm the only one that's in command
’Cause I'm the only one who understands
How to make you feel like a man, yeah
Want you to make me feel like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only one..."
Open Letter Critiquing Sexism,,"Being ""empowered""...... is not the same as being a ""bitch""...
HAVING SOMETHING TO SAY...... is not the same as HAVING A BAD ATTITUDE....

what I meant when I said what I said about not being Sean's ex is that I am tired of living in a world where women are mostly referred to as a man's past, present or future PROPERTY / POSSESSION. I... do not. belong. to anyone. but myself. and neither do you.
I have clearly not been having the boy questions in my interviews lately because I have come to the realization that I have SO. MUCH. MORE. to talk about. I'm currently making the best music I've ever made in my life, having the best time of my life on tour with some of the greatest people I've ever known, working my ass off every single day, performing / creating for my babes and getting the chance to meet and hug my babes all over the world every day.

I come from a long bloodline of female activists. my aunt Judy was the first Italian american female president of the national press club in Washington DC. I think she would have been proud of me for speaking up about something that has been bothering me personally for so long.
Gloria Steinem published an article in 1969 titled ""After Black Power, Women's Liberation"".... and 46 years later... we're still not quite there yet!
If a women has a lot of sex (or any sex for that matter).... she's a ""slut"".
If a man has sex..... HE'S. A. STUD. a BOSSSSSS. a KING.
If a woman even TALKS about sex openly.... she is shamed!
But if a man talks or RAPS freely about all the women (or more commonly used ""bitches""/""hoes""... how lovely) he's had... he is regaled.
If a woman is seen with a friend with a penis, there is an immediate assumption of romance or sex and she is labeled!!
If a man is seen with a woman... his status is elevated / celebrated. ""AWW SHIIIT HE SMASHED!!!1!!1!"".

I know y'all already know this but the double standard and misogyny are still ever present.
I can't wait to live in a world where people are not valued by who they're dating / married to / attached to, having sex with (or not) / seen with.... but by their value as an individual.

I want the people reading this to know that they are MORE THAN enough on their own.
I want the media to please help me with this!!!!!!!!! Please support each other.
I'm saying this after literally 8 years of feeling like I constantly had to have a boy by my side. After being on my own now for a few months I am realizing that that's just not the case.... I have never felt more present, grounded, and satisfied. I've never laughed harder or had more fun or enjoyed my life more.

One more thought.... my honeymoon diaries are my way of sharing absolutely as much as I can with my fans. that is something I have done since day one and never plan on changing. it is a safe environment for me to be myself and share funny, special, personal things with my fans and to laugh about silly things I've done / things I'm going through. I don't plan on monitoring or changing that because there are more eyes on me now than there were before. I love y'all with all my heart.... you've accepted and celebrated me not only as an artist but as a person since day one and and nothing will change that or change me.

""any woman who chooses to behave like a full human being should be warned that the armies of the status quo will treat her as something of a dirty joke.. She will need her sisterhood."" - Gloria Steinem"
Open Letter to Fans,,"So the news is out about Sam & Cat. I felt it wasn’t my place to make any sort of announcement so I kept quiet until now. I want to thank Nickelodeon for making a childhood dream of mine come true, for being a family to me, for being so accommodating and supportive of my multitasking with my music career, and for of course introducing me to many of my fans however many years ago. I want to thank Dan Schneider for allowing me to play such a special, beautiful character who I hid behind for so long. What I mean by that is when I was younger, people loved Cat so much I used to pretend to be more like her. It took me a long time to be brave enough to separate myself and show people how different we actually are…. I think that’s honestly because I admire her so much. Her appreciation for life and everybody she encounters. Her passion and genuine excitement for the little things that most people dread like school projects and work. She always saw negative obstacles as opportunities to make things good

I will always hold Cat near and dear to my heart and appreciate her help in my personal growth from teenager to adult. I know she seems like a simple, daft character (and she is) but she played such a huge part in my life I just wanted to express my appreciation for her and share some of the things I love most about her. I think a lot of people could take a page out of her book…… she wouldn’t judge anybody by their appearance…. she believed the best in people…. she wasn’t afraid of anything or anybody…. she never let people’s judgements hold her back from doing what she wanted, acting how she wanted, dressing how she wanted wanted, dying her hair however she wanted… she never held back her enthusiasm or joy for fear of appearing some sort of way or for fear of jinxing the good that is real (which is something I personally do all the time but I wish I could shake that and celebrate every little thing like she does)

One of my favorite things about Cat was that she never lost her sense of wonder. As we grow up we become more and more jaded and fearful of how we come across. We hold back a little more, protect ourselves a little more and although Cat goes through the same ridicule as anybody else does growing up, she never changed or lost her childlike wonder. To me that’s the bravest, most special thing about her. She actually reminds me a lot of Frankie in that way

So I know a lot of people will think this is a lot for some ‘dumb’ kids show character . . . . but to me she is actually a lot smarter, stronger and braver than all the rest of us

Hopefully we’ll find out one day if Cat & Robbie ever got married. If I had any say in the story from here on out I’d make sure they were happily married with sweet, eccentric, Jewish, artificially red headed babies. Cat would constantly find herself reminding Aunt Sam to leave the butter sock and other dangerous weapons out of the house. They’d live down the street from Jade and Beck, also happily married with purple and black haired, pale, grungy, beautiful, goth babies. :)

Thank you to the cast and crew who I spent almost every day with for a good 4 or 5 years. Thanks for lighting us beautifully, shooting us beautifully, making the most incredible props, yelling at us when we were running late to set, keeping us on track and most of all for making it such a positive work environment. The guys behind the scenes couldn’t have been more pleasant or hard working and I appreciate them for that so much. I can’t imagine that there is a more pleasant or professional crew in Hollywood

Thank you from the bottom of my heart to a true friend of mine, Dan Schneider. I will never take these memories or lessons learned for granted

Lastly, thank you to my fans who have been with me since all of this started… you are the most loyal, dedicated and continuously loving supporters I could ever imagine. We’ve been through so much and you are still here… and we’ve got a long way to go. :) Thank you for believing in me, accepting me and loving me. I love you forever"
​pete davidson,Sweetener,"[Intro]
Mmm, yeah, yuh

[Verse]
I thought you into my life (Whoa), look at my mind (Yuh)
No better place or a time, (Look) how they align
Universe must have my back, fell from the sky into my lap
And I know you know that you're my soulmate and all that
I’m like ooh, ooh, my whole life got me ready for you, ooh, ooh

[Chorus]
Got me happy, happy
I'ma be happy, happy, yeah
I'ma be happy, happy
Won’t get no crying from me, yeah
Gonna be happy, happy
I'ma be happy, happy
I'ma be happy, happy, yeah
Gonna be happy, happy
I'ma be happy, happy
I'ma be happy, happy, yeah
Gonna be happy, happy
I'ma be happy, happy
I'ma be happy, happy"
